tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2026-1768,Tiburon Challenger,Hard,32,C,O,20260914,1,Z0BZ,1,,Michael Zheng,R,188,USA,22.631,88,682,Z09K,,,Evan Zhu,R,185,USA,28.082,522,84,6-1 4-6 7-5,3,R32,135,3,2,86,49,36,22,14,5,7,1,9,119,80,48,18,15,11,16
2026-1768,Tiburon Challenger,Hard,32,C,O,20260914,2,MP01,4,,Michael Mmoh,R,188,USA,28.676,178,315,SM88,,,Karue Sell,R,183,BRA,32.835,1755,2,6-3 6-2,3,R32,85,3,4,56,44,29,4,8,4,6,1,4,64,28,11,16,9,6,12
2026-1768,Tiburon Challenger,Hard,32,C,O,20260914,3,S0NV,,,Abdullah Shelbayh,L,180,JOR,22.828,258,214,Z0AK,,,Tyler Zink,R,185,USA,25.621,323,168,6-4 3-6 6-3,3,R32,156,4,5,90,55,36,21,14,6,8,7,3,132,70,50,27,14,12,15
2026-1768,Tiburon Challenger,Hard,32,C,O,20260914,4,M0RE,,,Patrick Maloney,R,193,USA,26.595,1037,17,G0AO,,,Alastair Gray,R,193,GBR,28.23,285,192,6-3 5-7 7-6(3),3,R32,161,10,5,113,77,58,17,17,7,10,14,6,111,72,54,15,16,2,5
2026-1768,Tiburon Challenger,Hard,32,C,O,20260914,5,N0DR,,,Bryce Nakashima Nakashima,,,,,711,44,I0B0,6,,Andre Ilagan,L,173,USA,25.826,181,309,7-5 6-7(4) 7-6(3),3,R32,160,16,6,119,71,57,23,18,4,5,15,5,120,81,60,22,18,5,7
2026-1768,Tiburon Challenger,Hard,32,C,O,20260914,6,L0ER,,,Timo Legout,R,180,FRA,24.507,444,106,S0TX,,,Henry Searle,L,193,GBR,20.463,226,246,6-1 6-4,3,R32,77,1,3,57,36,24,11,9,4,6,2,0,47,23,12,10,8,0,5
2026-1768,Tiburon Challenger,Hard,32,C,O,20260914,7,S0VM,,,Trevor Svajda,R,175,USA,20.402,529,81,B0I5,,,Blaise Bicknell,R,191,JAM,24.799,404,124,4-6 7-5 7-5,3,R32,132,2,4,100,58,42,27,17,6,8,14,4,97,64,43,20,17,5,8
2026-1768,Tiburon Challenger,Hard,32,C,O,20260914,8,W09G,,,J.J. Wolf,R,183,USA,27.732,246,225,A0IK,,,Luciano Emanuel Ambrogi,R,188,ARG,22.82,320,169,6-2 6-0,3,R32,51,5,1,36,21,19,9,7,0,0,3,0,35,21,10,3,7,2,7
2026-1768,Tiburon Challenger,Hard,32,C,O,20260914,9,S0S5,8,,Braden Shick,R,183,USA,22.891,206,267,A0IA,,,Erik Arutiunian,R,191,BLR,21.903,600,62,6-3 6-4,3,R32,67,3,1,53,31,24,15,10,1,2,7,1,52,32,23,9,9,4,7
2026-1768,Tiburon Challenger,Hard,32,C,O,20260914,10,GJ16,3,,Federico Agustin Gomez,R,191,ARG,29.799,186,292,M0RG,,,Daniel Milavsky,R,193,USA,25.005,314,173,4-6 7-6(2) 6-2,3,R32,127,7,8,93,50,38,23,15,5,7,7,6,96,59,41,18,15,3,6
2026-1768,Tiburon Challenger,Hard,32,C,O,20260914,11,KC12,,,Mitchell Krueger,R,188,USA,32.671,412,120,S0DQ,7,,Keegan Smith,R,201,USA,28.227,192,287,7-6(1) 6-7(2) 6-4,3,R32,143,5,5,125,87,52,21,17,5,9,17,2,107,72,47,17,17,6,11
2026-1768,Tiburon Challenger,Hard,32,C,O,20260914,12,S0DL,,,Ryan Seggerman,R,193,USA,27.107,672,49,M0NB,,,Aidan Mayo,R,183,USA,23.337,362,143,1-6 6-4 6-4,3,R32,115,15,1,103,66,43,16,14,7,11,6,2,76,48,33,15,13,4,7
2026-1768,Tiburon Challenger,Hard,32,C,O,20260914,13,B0NO,,,Darwin Blanch,L,185,USA,18.962,245,226,KE64,,,Stefan Kozlov,R,183,USA,28.616,291,189,6-3 2-6 7-6(10),3,R32,159,5,7,103,57,42,24,15,6,10,1,2,104,68,39,23,14,5,8
2026-1768,Tiburon Challenger,Hard,32,C,O,20260914,14,G0JJ,,,Sebastian Gorzny,R,193,USA,22.639,484,93,S0H1,,,Luca Staeheli,R,180,SUI,26.519,456,103,7-5 6-2,3,R32,100,5,6,60,36,27,11,10,4,7,5,5,80,40,21,17,10,9,15
2026-1768,Tiburon Challenger,Hard,32,C,O,20260914,15,B0NN,2,,Nishesh Basavareddy,R,180,USA,21.369,151,374,RD48,,,Igor Marcondes,L,185,BRA,29.246,304,181,6-2 6-2,3,R32,63,2,3,48,24,15,16,8,1,2,2,3,55,33,13,11,8,2,7
2026-1768,Tiburon Challenger,Hard,32,C,O,20260914,16,B0EJ,5,,Tristan Boyer,R,188,USA,25.399,214,260,W0C4,,,Edward Winter,R,178,AUS,21.996,341,155,6-2 6-4,3,R32,102,5,2,65,44,33,13,9,7,7,0,1,71,53,27,12,9,9,12
2026-1768,Tiburon Challenger,Hard,32,C,O,20260914,17,Z0BZ,1,,Michael Zheng,R,188,USA,22.631,88,682,S0VM,,,Trevor Svajda,R,175,USA,20.402,529,81,6-1 6-4,3,R16,60,9,4,53,34,28,7,9,3,4,2,2,44,23,14,10,8,3,7
2026-1768,Tiburon Challenger,Hard,32,C,O,20260914,18,N0DR,,,Bryce Nakashima Nakashima,,,,,711,44,L0ER,,,Timo Legout,R,180,FRA,24.507,444,106,7-6(6) 6-2,3,R16,121,11,1,80,53,38,16,10,6,7,0,3,80,56,32,14,10,4,7
2026-1768,Tiburon Challenger,Hard,32,C,O,20260914,19,KC12,,,Mitchell Krueger,R,188,USA,32.671,412,120,S0DL,,,Ryan Seggerman,R,193,USA,27.107,672,49,4-6 6-1 7-6(3),3,R16,130,4,1,103,65,39,28,15,5,7,22,8,101,62,44,18,14,10,13
2026-1768,Tiburon Challenger,Hard,32,C,O,20260914,20,B0NO,,,Darwin Blanch,L,185,USA,18.962,245,226,GJ16,3,,Federico Agustin Gomez,,,,,186,292,6-3 6-0,3,R16,51,3,3,43,25,22,11,8,0,0,5,4,47,28,14,7,7,5,9
2026-1768,Tiburon Challenger,Hard,32,C,O,20260914,21,G0JJ,,,Sebastian Gorzny,R,193,USA,22.639,484,93,B0NN,2,,Nishesh Basavareddy,R,180,USA,21.369,151,374,6-2 6-4,3,R16,80,7,1,55,38,28,8,9,2,4,5,2,58,37,19,11,9,7,12
2026-1768,Tiburon Challenger,Hard,32,C,O,20260914,22,MP01,4,,Michael Mmoh,R,188,USA,28.676,178,315,M0RE,,,Patrick Maloney,R,193,USA,26.595,1037,17,7-5 6-3,3,R16,103,8,3,59,36,26,14,10,3,5,1,3,70,48,29,7,11,2,7
2026-1768,Tiburon Challenger,Hard,32,C,O,20260914,23,W09G,,,J.J. Wolf,R,183,USA,27.732,246,225,S0S5,8,,Braden Shick,R,183,USA,22.891,206,267,6-4 6-7(5) 6-4,3,R16,159,6,2,109,67,45,27,16,5,6,3,3,108,65,44,24,16,9,12
