tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2026-560,US Open,Hard,128,G,0,20260901,1,Z355,1,,Alexander Zverev,R,198,GER,29.366,2,7790,SU87,,,Lorenzo Sonego,R,191,ITA,31.310,89,698,6-4 3-6 6-7(7) 7-5 6-4,5,R128,293,12,8,155,102,79,29,26,2,5,16,4,189,124,91,31,27,17,22
2026-560,US Open,Hard,128,G,0,20260831,2,HB64,,,Quentin Halys,R,191,FRA,29.845,52,1030,D0CG,,,Facundo Diaz Acosta,L,183,ARG,25.708,82,732,6-4 7-5 6-7(7) 6-1,5,R128,191,18,9,138,82,67,27,21,5,7,12,7,126,93,62,14,20,6,12
2026-560,US Open,Hard,128,G,0,20260831,3,P09Z,,,Alexei Popyrin,R,196,AUS,27.072,130,458,D875,,Q,Grigor Dimitrov,R,191,BUL,35.294,137,432,3-6 6-3 6-2 6-4,5,R128,153,11,2,104,68,50,18,18,5,8,9,14,109,57,43,21,18,2,8
2026-560,US Open,Hard,128,G,0,20260831,4,TE30,25,,Alejandro Tabilo,L,188,CHI,29.246,28,1688,H997,,,Yannick Hanfmann,R,193,GER,34.798,54,991,6-3 6-2 6-7(7) 6-3,5,R128,156,9,4,114,71,60,24,20,4,5,13,6,105,59,45,20,18,5,10
2026-560,US Open,Hard,128,G,0,20260831,5,D0FJ,21,,Luciano Darderi,R,183,ITA,24.542,22,2175,W0AH,,Q,Harry Wendelken,R,178,GBR,24.701,196,285,6-2 3-6 6-2 7-5,5,R128,229,15,5,150,85,55,35,19,13,17,10,7,127,61,39,31,18,13,20
2026-560,US Open,Hard,128,G,0,20260831,6,S0GD,,Q,Dalibor Svrcina,R,178,CZE,23.912,134,445,R0EB,,,Valentin Royer,R,188,FRA,25.257,75,778,6-4 6-3 5-7 5-7 6-2,5,R128,243,8,15,143,77,56,35,25,10,17,11,4,158,91,61,26,26,8,18
2026-560,US Open,Hard,128,G,0,20260901,7,S0IA,,WC,Dane Sweeny,R,170,AUS,25.550,123,506,MW02,,,Corentin Moutet,L,180,FRA,27.370,62,935,7-6(4) 6-4 3-0,5,R128,155,1,6,91,60,37,17,12,8,11,5,8,95,49,32,17,13,10,16
2026-560,US Open,Hard,128,G,0,20260901,8,M0EJ,13,,Lorenzo Musetti,R,185,ITA,24.498,14,2605,F0DM,,,Arthur Fery,R,175,GBR,24.140,33,1415,6-3 6-3 7-5,5,R128,129,7,4,79,48,37,21,15,4,6,0,5,89,47,29,20,15,3,9
2026-560,US Open,Hard,128,G,0,20260902,9,Y09V,,LL,Yunchaokete Bu,R,185,CHN,24.619,124,496,J0DZ,12,,Rafael Jodar,R,191,ESP,19.959,13,2671,6-2 6-1 6-1,5,R128,108,2,3,61,38,32,14,11,0,0,2,3,79,41,24,12,11,9,16
2026-560,US Open,Hard,128,G,0,20260902,10,Z0BZ,,WC,Michael Zheng,R,188,USA,22.598,107,590,M0CI,,,Fabian Marozsan,R,193,HUN,26.902,63,930,6-4 6-4 6-2,5,R128,111,9,2,83,39,36,22,14,5,6,3,3,87,50,31,19,14,3,8
