cutoff_date,fold_number,metric,metric_value,modelversion,row_count,run_timestamp,sport,stat_target,test_end_date
2015-02-01,2,mae,3.6228658990982936,baseline_v1_aces,426,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-03-01
2015-02-01,2,rmse,4.544926651666584,baseline_v1_aces,426,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-03-01
2015-02-01,2,mean_bias,2.263250801102914,baseline_v1_aces,426,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-03-01
2015-02-01,2,interval_coverage,0.5915492957746479,baseline_v1_aces,426,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-03-01
2015-02-01,2,interval_crossing_count,0.0,baseline_v1_aces,426,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-03-01
2015-02-01,2,interval_repair_count,0.0,baseline_v1_aces,426,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-03-01
2015-02-01,2,mae_improvement_over_baseline,0.0,baseline_v1_aces,426,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-03-01
2015-02-01,2,prediction_bin_01_coverage,0.5238095238095238,baseline_v1_aces,42,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-03-01
2015-02-01,2,prediction_bin_02_coverage,0.4883720930232558,baseline_v1_aces,43,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-03-01
2015-02-01,2,prediction_bin_03_coverage,0.5952380952380952,baseline_v1_aces,42,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-03-01
2015-02-01,2,prediction_bin_04_coverage,0.6744186046511628,baseline_v1_aces,43,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-03-01
2015-02-01,2,prediction_bin_05_coverage,0.6744186046511628,baseline_v1_aces,43,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-03-01
2015-02-01,2,prediction_bin_06_coverage,0.6428571428571429,baseline_v1_aces,42,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-03-01
2015-02-01,2,prediction_bin_07_coverage,0.6976744186046512,baseline_v1_aces,43,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-03-01
2015-02-01,2,prediction_bin_08_coverage,0.4523809523809524,baseline_v1_aces,42,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-03-01
2015-02-01,2,prediction_bin_09_coverage,0.5813953488372093,baseline_v1_aces,43,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-03-01
2015-02-01,2,prediction_bin_10_coverage,0.5813953488372093,baseline_v1_aces,43,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-03-01
